iter	Passed	Remaining
666	71468	196404
667	71640	196474
668	71805	196526
669	71953	196528
670	72090	196503
671	72192	196379
672	72458	196703
673	74069	200668
674	74421	201214
675	74705	201572
676	74988	201927
677	75196	202077
678	75382	202166
679	75565	202250
680	75761	202364
681	75977	202532
682	76146	202573
683	76294	202558
684	76433	202522
685	76580	202503
686	76739	202516
687	76881	202485
688	77036	202485
689	77194	202496
690	77370	202551
691	77525	202551
692	77681	202555
693	77804	202470
694	77944	202432
695	78078	202376
696	78210	202313
697	78343	202256
698	78472	202188
699	78690	202346
700	78849	202354
701	79035	202428
702	79354	202844
703	79576	203009
704	79837	203275
705	80050	203414
706	80367	203817
707	80567	203922
708	80998	204609
709	81416	205260
710	81585	205283
711	81743	205277
712	81896	205259
713	82039	205214
714	82187	205181
715	82345	205172
716	82487	205125
717	82631	205081
718	82776	205042
719	82908	204968
720	83035	204883
721	83173	204823
722	83307	204754
723	83440	204682
724	83590	204653
725	83730	204596
726	83874	204551
727	84084	204666
728	84265	204710
729	84429	204712
730	84562	204639
731	84709	204599
732	84853	204551
733	84990	204487
734	85158	204496
735	85374	204621
736	85580	204719
737	85772	204784
738	85943	204799
739	86096	204769
740	86272	204796
741	86495	204931
742	86727	205087
743	86892	205084
744	87054	205073
745	87219	205072
746	87387	205073
747	87607	205197
748	87846	205366
749	88068	205493
750	88252	205530
751	88431	205555
752	88608	205575
753	88784	205594
754	88955	205598
755	89119	205587
756	89349	205729
757	89563	205829
758	89737	205839
759	89894	205812
760	90096	205884
761	90264	205878
762	90445	205903
763	90735	206174
764	90931	206230
765	91111	206248
766	91315	206323
767	91523	206404
768	91715	206448
769	91943	206574
770	92157	206667
771	92348	206706
772	92533	206735
773	92729	206785
774	93031	207070
775	93250	207168
776	93465	207260
777	93675	207338
778	93877	207397
779	94048	207390
780	94223	207387
781	94440	207479
782	94716	207699
783	94935	207793
784	95102	207771
785	95257	207723
786	95411	207674
787	95678	207870
788	95912	207992
789	96132	208083
790	96316	208097
791	96618	208363
792	96823	208419
793	96982	208377
794	97190	208440
795	97365	208430
796	97581	208508
797	97753	208491
798	97910	208443
799	98063	208384
800	98211	208315
801	98354	208237
802	98521	208208
803	98660	208120
804	98911	208266
805	99109	208301
806	99348	208422
807	99561	208488
808	99716	208430
809	99859	208348
810	100051	208369
811	100202	208302
812	100342	208213
813	100489	208138
814	100619	208028
815	100748	207916
816	100906	207864
817	101121	207929
818	101254	207824
819	101375	207696
820	101493	207561
821	101616	207435
822	101731	207295
823	101835	207130
824	101940	206970
825	102036	206791
826	102149	206645
827	102255	206487
828	102352	206310
829	102446	206126
830	102563	205990
831	102665	205824
832	102767	205658
833	102869	205492
834	102971	205327
835	103084	205181
836	103192	205028
837	103315	204905
838	103421	204747
839	103526	204588
840	103622	204410
841	103730	204257
842	103830	204089
843	103934	203929
844	104036	203763
845	104140	203603
846	104265	203483
847	104393	203370
848	104497	203209
849	104596	203040
850	104693	202865
851	104789	202691
852	104887	202520
853	105005	202387
854	105107	202224
855	105215	202072
856	105319	201913
857	105431	201769
858	105525	201591
859	105615	201406
860	105711	201231
861	105812	201068
862	105917	200912
863	106019	200749
864	106123	200591
865	106228	200435
866	106336	200285
867	106422	200093
868	106520	199925
869	106615	199751
870	106720	199594
871	106824	199438
872	106923	199271
873	107006	199075
874	107097	198894
875	107191	198720
876	107300	198572
877	107441	198484
878	107551	198339
879	107654	198182
880	107751	198013
881	107842	197834
882	107938	197663
883	108037	197498
884	108138	197336
885	108236	197170
886	108339	197014
887	108427	196829
888	108526	196666
889	108622	196497
890	108735	196357
891	108832	196191
892	108931	196028
893	109019	195844
894	109116	195677
895	109213	195512
896	109314	195351
897	109409	195183
898	109543	195082
899	109638	194913
900	109742	194759
901	109841	194596
902	109942	194439
903	110035	194266
904	110135	194105
905	110234	193944
906	110347	193807
907	110449	193652
908	110553	193498
909	110653	193339
910	110744	193165
911	110851	193017
912	110951	192859
913	111059	192713
914	111170	192573
915	111270	192415
916	111379	192271
917	111477	192110
918	111565	191931
919	111677	191794
920	111782	191645
921	111880	191483
922	111967	191303
923	112070	191149
924	112171	190994
925	112285	190861
926	112399	190726
927	112508	190584
928	112603	190420
929	112695	190250
930	112786	190077
931	112887	189921
932	112978	189750
933	113097	189625
934	113244	189548
935	113342	189388
936	113446	189238
937	113570	189123
938	113677	188978
939	113789	188842
940	113920	188738
941	114024	188587
942	114162	188495
943	114287	188381
944	114408	188259
945	114530	188140
946	114630	187984
947	114740	187845
948	114850	187705
949	114946	187544
950	115039	187377
951	115138	187220
952	115236	187063
953	115334	186904
954	115438	186756
955	115531	186590
956	115626	186427
957	115730	186279
958	115826	186118
959	115935	185979
960	116079	185896
961	116179	185742
962	116304	185628
963	116468	185576
964	116590	185457
965	116691	185304
966	116806	185174
967	116912	185031
968	117020	184890
969	117122	184739
970	117227	184593
971	117342	184463
972	117458	184335
973	117576	184211
974	117677	184059
975	117772	183899
976	117872	183745
977	117976	183598
978	118082	183456
979	118189	183314
980	118289	183161
981	118387	183006
982	118492	182861
983	118582	182694
984	118682	182542
985	118775	182380
986	118885	182242
987	118978	182080
988	119073	181921
989	119167	181760
990	119260	181597
991	119362	181450
992	119453	181285
993	119551	181130
994	119660	180993
995	119782	180876
996	119877	180718
997	119981	180572
998	120077	180416
999	120168	180252
1000	120284	180126
1001	120390	179984
1002	120493	179839
1003	120588	179681
1004	120686	179528
1005	120784	179376
1006	120892	179238
1007	121019	179128
1008	121124	178985
1009	121237	178855
1010	121330	178694
1011	121438	178557
1012	121541	178412
1013	121645	178269
1014	121742	178116
1015	121837	177959
1016	121929	177799
1017	122027	177647
1018	122134	177508
1019	122236	177363
1020	122334	177211
1021	122433	177061
1022	122533	176912
1023	122621	176746
1024	122713	176588
1025	122796	176415
1026	122901	176274
1027	122992	176114
1028	123098	175974
1029	123189	175813
1030	123290	175667
1031	123385	175513
1032	123484	175365
1033	123587	175221
1034	123698	175090
1035	123802	174948
1036	123924	174833
1037	124023	174683
1038	124120	174532
1039	124223	174390
1040	124326	174247
1041	124426	174101
1042	124558	173999
1043	124672	173872
1044	124785	173744
1045	124881	173592
1046	124977	173440
1047	125075	173292
1048	125203	173183
1049	125305	173041
1050	125404	172893
1051	125495	172735
1052	125580	172568
1053	125673	172412
1054	125773	172267
1055	125874	172123
1056	125972	171975
1057	126075	171834
1058	126184	171701
1059	126295	171571
1060	126400	171432
1061	126500	171287
1062	126593	171133
1063	126695	170991
1064	126787	170835
1065	126870	170667
1066	126966	170518
1067	127077	170389
1068	127194	170267
1069	127290	170116
1070	127389	169972
1071	127492	169831
1072	127583	169675
1073	127684	169532
1074	127782	169385
1075	127878	169236
1076	127989	169107
1077	128089	168964
1078	128199	168833
1079	128316	168713
1080	128440	168600
1081	128552	168472
1082	128655	168333
1083	128752	168186
1084	128864	168058
1085	128978	167932
1086	129082	167795
1087	129182	167652
1088	129284	167511
1089	129393	167380
1090	129502	167248
1091	129603	167107
1092	129715	166980
1093	129819	166843
1094	129929	166712
1095	130032	166574
1096	130125	166423
1097	130222	166276
1098	130319	166131
1099	130422	165992
1100	130513	165838
1101	130618	165702
1102	130737	165585
1103	130857	165468
1104	130952	165320
1105	131071	165202
1106	131161	165047
1107	131253	164895
1108	131348	164748
1109	131456	164617
1110	131545	164461
1111	131640	164314
1112	131724	164152
1113	131824	164012
1114	131933	163882
1115	132024	163729
1116	132118	163580
1117	132206	163425
1118	132300	163276
1119	132394	163129
1120	132486	162978
1121	132580	162830
1122	132709	162726
1123	132806	162582
1124	132904	162438
1125	133011	162306
1126	133116	162172
1127	133223	162041
1128	133329	161908
1129	133432	161771
1130	133527	161626
1131	133626	161484
1132	133729	161348
1133	133826	161206
1134	133929	161069
1135	134024	160924
1136	134126	160786
1137	134225	160645
1138	134329	160511
1139	134426	160368
1140	134529	160233
1141	134624	160087
1142	134727	159952
1143	134832	159818
1144	134923	159668
1145	135019	159525
1146	135113	159380
1147	135210	159237
1148	135326	159117
1149	135422	158973
1150	135521	158834
1151	135612	158684
1152	135706	158540
1153	135831	158430
1154	135947	158310
1155	136047	158173
1156	136147	158034
1157	136268	157920
1158	136387	157804
1159	136515	157699
1160	136627	157575
1161	136743	157454
1162	136872	157350
1163	136998	157242
1164	137122	157131
1165	137241	157015
1166	137358	156897
1167	137508	156815
1168	137626	156698
1169	137736	156571
1170	137872	156475
1171	137994	156362
1172	138118	156252
1173	138235	156133
1174	138337	155998
1175	138452	155876
1176	138569	155757
1177	138681	155633
1178	138790	155506
1179	138917	155399
1180	139031	155277
1181	139160	155172
1182	139287	155064
1183	139402	154944
1184	139516	154822
1185	139661	154734
1186	139779	154617
1187	139886	154487
1188	139988	154352
1189	140082	154208
1190	140178	154066
1191	140280	153931
1192	140409	153826
1193	140501	153680
1194	140601	153544
1195	140710	153416
1196	140818	153288
1197	140911	153143
1198	141016	153012
1199	141125	152886
1200	141241	152767
1201	141346	152635
1202	141456	152509
1203	141578	152396
1204	141682	152265
1205	141797	152144
1206	141901	152012
1207	142002	151877
1208	142098	151736
1209	142187	151588
1210	142287	151452
1211	142379	151307
1212	142472	151163
1213	142555	151010
1214	142655	150874
1215	142765	150748
1216	142877	150625
1217	142974	150486
1218	143069	150345
1219	143163	150204
1220	143264	150070
1221	143368	149938
1222	143464	149798
1223	143557	149656
1224	143659	149523
1225	143756	149384
1226	143866	149260
1227	143990	149149
1228	144085	149009
1229	144196	148885
1230	144294	148748
1231	144369	148587
1232	144472	148456
1233	144572	148321
1234	144677	148191
1235	144782	148062
1236	144888	147933
1237	144991	147802
1238	145089	147665
1239	145184	147526
1240	145287	147395
1241	145378	147251
1242	145473	147112
1243	145569	146973
1244	145657	146827
1245	145748	146684
1246	145849	146551
1247	145940	146408
1248	146044	146278
1249	146143	146143
1250	146232	145999
1251	146337	145869
1252	146449	145748
1253	146548	145613
1254	146660	145491
1255	146764	145361
1256	146854	145218
1257	146954	145085
1258	147059	144957
1259	147163	144827
1260	147260	144691
1261	147357	144555
1262	147458	144422
1263	147558	144290
1264	147672	144170
1265	147769	144034
1266	147855	143888
1267	147953	143752
1268	148048	143614
1269	148160	143493
1270	148266	143366
1271	148353	143221
1272	148452	143087
1273	148547	142950
1274	148643	142814
1275	148744	142683
1276	148847	142553
1277	148947	142421
1278	149036	142278
1279	149130	142140
1280	149227	142004
1281	149323	141869
1282	149417	141731
1283	149514	141596
1284	149608	141458
1285	149707	141325
1286	149797	141184
1287	149887	141042
1288	150000	140923
1289	150100	140792
1290	150205	140664
1291	150311	140539
1292	150420	140415
1293	150515	140279
1294	150606	140139
1295	150694	139996
1296	150801	139872
1297	150896	139736
1298	151006	139613
1299	151103	139480
1300	151223	139367
1301	151329	139241
1302	151433	139114
1303	151527	138977
1304	151628	138847
1305	151730	138718
1306	151824	138581
1307	151921	138447
1308	152020	138316
1309	152116	138182
1310	152215	138050
1311	152301	137906
1312	152409	137783
1313	152529	137671
1314	152623	137535
1315	152727	137408
1316	152818	137269
1317	152911	137133
1318	153011	137002
1319	153101	136863
1320	153198	136730
1321	153288	136591
1322	153386	136459
1323	153487	136330
1324	153577	136191
1325	153707	136087
1326	153812	135962
1327	153912	135832
1328	154016	135705
1329	154105	135566
1330	154221	135450
1331	154306	135307
1332	154411	135182
1333	154510	135051
1334	154619	134929
1335	154719	134800
1336	154818	134670
1337	154931	134552
1338	155031	134422
1339	155131	134293
1340	155224	134157
1341	155316	134020
1342	155420	133895
1343	155527	133772
1344	155623	133639
1345	155719	133506
1346	155808	133368
1347	155908	133238
1348	156011	133112
1349	156124	132994
1350	156223	132865
1351	156326	132738
1352	156417	132601
1353	156515	132471
1354	156603	132332
1355	156695	132197
1356	156818	132088
1357	156942	131979
1358	157039	131848
1359	157143	131723
1360	157261	131609
1361	157393	131507
1362	157497	131382
1363	157613	131267
1364	157723	131147
1365	157824	131019
1366	157925	130892
1367	158029	130767
1368	158125	130635
1369	158226	130507
1370	158334	130385
1371	158427	130252
1372	158527	130124
1373	158636	130003
1374	158737	129876
1375	158831	129743
1376	158935	129618
1377	159031	129486
1378	159117	129348
1379	159224	129225
1380	159317	129091
1381	159412	128960
1382	159512	128832
1383	159609	128702
1384	159705	128571
1385	159796	128436
1386	159891	128305
1387	159983	128171
1388	160071	128034
1389	160162	127899
1390	160252	127764
1391	160356	127640
1392	160466	127520
1393	160572	127398
1394	160672	127271
